"","Date","Open","High","Low","Close","Volume","Cryptocurrency"
"302",2019-05-19,233,263.89,233,260.2,560.951,"Ethereum"
"303",2019-05-20,260.2,260.2,239,250.73,501.065,"Ethereum"
"304",2019-05-21,250.73,261,245.9,253.54,267.88,"Ethereum"
"305",2019-05-22,253.54,257.5,242.01,244.34,317.363,"Ethereum"
"306",2019-05-23,244.34,245.5,231.02,245.06,313.282,"Ethereum"
"307",2019-05-24,245.06,253.8,241.82,248,345.874,"Ethereum"
"308",2019-05-25,248,256.7,248,250.48,371.647,"Ethereum"
"309",2019-05-26,250.48,269,245.1,263.97,411.569,"Ethereum"
"310",2019-05-27,263.97,278.01,172.71,267.57,502.58,"Ethereum"
"311",2019-05-28,267.57,275,265.81,271.17,381.301,"Ethereum"
"312",2019-05-29,271.17,273.93,260.89,267.96,410.927,"Ethereum"
"313",2019-05-30,267.96,288.52,241,254.05,596.783,"Ethereum"
"314",2019-05-31,254.05,268.14,247,268.14,337.423,"Ethereum"
"315",2019-06-01,268.14,273.55,260.7,268,303.419,"Ethereum"
"316",2019-06-02,268,272.47,264.29,269.22,259.346,"Ethereum"
"317",2019-06-03,269.22,269.68,250,250.71,249.585,"Ethereum"
"318",2019-06-04,250.71,251.91,235.5,240,442.832,"Ethereum"
"319",2019-06-05,240,248.13,238.31,246.47,294.763,"Ethereum"
"320",2019-06-06,246.47,249,237.46,249,218.476,"Ethereum"
"321",2019-06-07,249,253.3,244.78,248.82,265.686,"Ethereum"
"322",2019-06-08,248.82,250.49,241.22,242.79,164.337,"Ethereum"
"323",2019-06-09,242.79,243.22,228,228,189.204,"Ethereum"
"324",2019-06-10,228,245.8,227,245.4,254.125,"Ethereum"
"325",2019-06-11,245.4,247,238,246,243.661,"Ethereum"
"326",2019-06-12,246,260,242.3,260,283.024,"Ethereum"
"327",2019-06-13,260,261.64,254,254.96,245.95,"Ethereum"
"328",2019-06-14,255.04,263.87,252.3,263.87,244.216,"Ethereum"
"329",2019-06-15,263.87,271,260.47,266.67,368.169,"Ethereum"
"330",2019-06-16,266.67,276.75,263.73,270.23,362.7,"Ethereum"
"331",2019-06-17,270.23,273.62,266.47,271.59,228.114,"Ethereum"
"332",2019-06-18,271.59,271.59,263,263,177.348,"Ethereum"
"333",2019-06-19,263,269.65,263,268.51,150.073,"Ethereum"
"334",2019-06-20,268.51,272.61,265.48,270.41,207.279,"Ethereum"
"335",2019-06-21,270.41,294,270.41,285.02,653.631,"Ethereum"
"336",2019-06-22,285.02,314.05,285.02,310,654.2,"Ethereum"
"337",2019-06-23,310,318.85,306.05,308.3,245.494,"Ethereum"
"338",2019-06-24,308.3,312.96,302.95,309.07,279.112,"Ethereum"
"339",2019-06-25,309.07,318,308.15,318,211.503,"Ethereum"
"340",2019-06-26,318,365.93,315.19,339.93,580.661,"Ethereum"
"341",2019-06-27,339.93,344.75,284.5,297.94,850.753,"Ethereum"
"342",2019-06-28,297.94,313.63,296.67,309.63,387.123,"Ethereum"
"343",2019-06-29,309.63,322.2,295.47,321.67,382.994,"Ethereum"
"344",2019-06-30,321.67,323.59,292,292,384.982,"Ethereum"
"345",2019-07-01,292,303.66,281,294.06,287.254,"Ethereum"
"346",2019-07-02,294.06,294.82,272.8,289.98,297.873,"Ethereum"
"347",2019-07-03,289.98,301.4,289.78,301.4,373.263,"Ethereum"
"348",2019-07-04,301.4,301.54,283,283.78,298.779,"Ethereum"
"349",2019-07-05,283.78,294.59,282.26,286.59,256.985,"Ethereum"
"350",2019-07-06,286.59,295.8,286.59,287.81,148.797,"Ethereum"
"351",2019-07-07,287.81,308.17,286,304.34,240.835,"Ethereum"
"352",2019-07-08,304.34,312.52,302.26,312,160.703,"Ethereum"
"353",2019-07-09,312,317,303.57,307.54,264.936,"Ethereum"
"354",2019-07-10,307.54,312.43,283.84,287.64,281.232,"Ethereum"
"355",2019-07-11,287.64,287.64,262,267.08,284.435,"Ethereum"
"356",2019-07-12,267.08,278.79,266.81,274.32,280.751,"Ethereum"
"357",2019-07-13,274.32,274.98,263.26,265.32,141.648,"Ethereum"
"358",2019-07-14,265.32,269.5,227,227,282.026,"Ethereum"
"359",2019-07-15,227,235.01,207.96,231.2,451.834,"Ethereum"
"360",2019-07-16,231.2,232.63,194.01,199.57,406.89,"Ethereum"
"361",2019-07-17,199.57,218.91,192.54,209.38,515.597,"Ethereum"
"362",2019-07-18,209.38,226.84,206.74,224.32,351.609,"Ethereum"
"363",2019-07-19,224.32,225.93,214.08,220.28,206.263,"Ethereum"
"364",2019-07-20,220.28,234,220.28,230.88,224.57,"Ethereum"
"365",2019-07-21,230.88,230.88,218,225,181.57,"Ethereum"
"366",2019-07-22,225,227,214,217.95,224.784,"Ethereum"
"367",2019-07-23,217.95,218.12,208.69,211.95,293.635,"Ethereum"
"368",2019-07-24,211.95,216.87,202.38,216.87,172.644,"Ethereum"
"369",2019-07-25,216.87,224.01,216.21,219.43,191.112,"Ethereum"
"370",2019-07-26,219.43,220.04,213.4,217.66,159.138,"Ethereum"
"371",2019-07-27,217.66,222.1,204.42,206.75,240.739,"Ethereum"
"372",2019-07-28,206.75,211.27,200,210.34,123.446,"Ethereum"
"373",2019-07-29,210.34,214.27,208,211.02,79.349,"Ethereum"
"374",2019-07-30,211.02,212.2,205.61,209.23,200.107,"Ethereum"
"375",2019-07-31,209.23,218,209.23,218,185.767,"Ethereum"
"376",2019-08-01,218,218,210,216.99,114.892,"Ethereum"
"377",2019-08-02,216.99,221.65,215.06,216.05,266.759,"Ethereum"
"378",2019-08-03,216.05,224.65,216.05,221.64,126.945,"Ethereum"
"379",2019-08-04,221.64,222.28,217.01,221.37,160.634,"Ethereum"
"380",2019-08-05,221.37,234.86,221.37,232,292.448,"Ethereum"
"381",2019-08-06,232,238.87,225,225,278.829,"Ethereum"
"382",2019-08-07,225,230,222.13,225.41,188.389,"Ethereum"
"383",2019-08-08,225.41,226.59,216.84,220.07,157.621,"Ethereum"
"384",2019-08-09,220.07,221,207.63,209.88,271.64,"Ethereum"
"385",2019-08-10,209.88,215.01,202.56,206.5,200.269,"Ethereum"
